# seed = 10, gamma = 1.0, beta = 0.337, dee = 1.0, dcc = 25.0, dec = 50.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 25.89 0.2 376 25.89 0.2 15322 1396.77 0.23 15322 1396.77 0.23 370 65.04 0.23 370 65.04 0.23 199 10 101 199 10 101 18.9 21.0 19.26 0.63
1800.0 356 26.59 0.36 732 52.48 0.36 15609 151199.33 19.82 30931 152596.1 19.82 352 3086.3 19.82 722 3151.34 19.82 199 10 101 398 20 202 18.6 18.9 18.9 0.0
2700.0 310 25.76 0.2 1042 78.24 0.36 15265 1418.92 0.23 46196 154015.02 19.82 310 65.5 0.23 1032 3216.84 19.82 199 10 101 597 30 303 17.7 18.9 18.36 0.04
3600.0 310 25.76 0.2 1352 104.0 0.36 15265 1418.92 0.23 61461 155433.95 19.82 310 65.5 0.23 1342 3282.34 19.82 199 10 101 796 40 404 17.6 18.7 18.22 0.05
4500.0 376 25.9 0.2 1728 129.91 0.36 15321 1418.13 0.23 76782 156852.07 19.82 370 65.5 0.23 1712 3347.83 19.82 199 10 101 995 50 505 17.6 18.7 18.22 0.05
5400.0 356 26.6 0.36 2084 156.51 0.36 15631 7542.65 19.87 92413 164394.73 19.87 352 85.39 19.87 2064 3433.22 19.87 199 10 101 1194 60 606 17.6 18.7 18.22 0.05
6300.0 310 25.76 0.2 2394 182.27 0.36 15302 1424.3 0.23 107715 165819.03 19.87 310 65.58 0.23 2374 3498.8 19.87 199 10 101 1393 70 707 17.6 18.7 18.22 0.04
7200.0 310 25.76 0.2 2704 208.03 0.36 15304 1424.55 0.23 123019 167243.58 19.87 310 65.58 0.23 2684 3564.38 19.87 199 10 101 1592 80 808 17.6 18.7 18.24 0.04
8100.0 376 25.91 0.2 3080 233.94 0.36 15360 1423.91 0.23 138379 168667.49 19.87 370 65.58 0.23 3054 3629.96 19.87 199 10 101 1791 90 909 17.6 18.7 18.24 0.04
