# seed = 2, gamma = 0.66, beta = 0.33, dee = 1.0, dcc = 5.0, dec = 300.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 46.05 0.45 376 46.05 0.45 15284 2430.49 0.48 15284 2430.49 0.48 370 142.45 0.48 370 142.45 0.48 205 6 99 205 6 99 18.9 21.0 19.12 0.42
1800.0 356 46.76 0.45 732 92.81 0.45 15568 150470.44 20.01 30852 152900.93 20.01 352 3129.74 20.01 722 3272.18 20.01 205 6 99 410 12 198 18.7 18.9 18.9 0.0
2700.0 310 45.92 0.45 1042 138.73 0.45 15222 2452.62 0.48 46074 155353.55 20.01 310 142.84 0.48 1032 3415.02 20.01 205 6 99 615 18 297 17.7 18.9 18.26 0.06
3600.0 310 45.92 0.45 1352 184.66 0.45 15221 2452.16 0.48 61295 157805.71 20.01 310 142.84 0.48 1342 3557.86 20.01 205 6 99 820 24 396 17.6 18.9 18.22 0.05
4500.0 376 46.06 0.45 1728 230.72 0.45 15277 2451.73 0.48 76572 160257.44 20.01 370 142.85 0.48 1712 3700.71 20.01 205 6 99 1025 30 495 17.6 18.7 18.22 0.05
5400.0 356 46.77 0.45 2084 277.48 0.45 15606 8594.97 20.11 92178 168852.41 20.11 352 163.01 20.11 2064 3863.73 20.11 205 6 99 1230 36 594 17.6 18.7 18.22 0.05
6300.0 310 45.92 0.45 2394 323.41 0.45 15298 2466.38 0.48 107476 171318.79 20.11 310 143.07 0.48 2374 4006.8 20.11 205 6 99 1435 42 693 17.6 18.7 18.24 0.05
7200.0 310 45.92 0.45 2704 369.33 0.45 15295 2465.01 0.48 122771 173783.8 20.11 310 143.07 0.48 2684 4149.87 20.11 205 6 99 1640 48 792 17.6 18.7 18.25 0.04
8100.0 376 46.06 0.45 3080 415.39 0.45 15353 2465.05 0.48 138124 176248.84 20.11 370 143.19 0.48 3054 4293.06 20.11 205 6 99 1845 54 891 17.6 18.7 18.25 0.04
