# seed = 4, gamma = 0.66, beta = 0.66, dee = 1.0, dcc = 25.0, dec = 10.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 15.28 0.06 376 15.28 0.06 15178 1168.27 0.13 15178 1168.27 0.13 370 28.18 0.13 370 28.18 0.13 106 6 198 106 6 198 18.9 21.0 19.34 0.73
1800.0 356 16.02 0.36 732 31.29 0.36 15457 148282.94 19.51 30635 149451.21 19.51 352 3016.2 19.51 722 3044.38 19.51 106 6 198 212 12 396 18.7 21.0 18.9 0.01
2700.0 310 15.16 0.06 1042 46.45 0.36 15115 1211.19 0.14 45750 150662.4 19.51 310 29.04 0.14 1032 3073.41 19.51 106 6 198 318 18 594 17.6 21.0 18.31 0.08
3600.0 310 15.16 0.06 1352 61.61 0.36 15112 1211.02 0.14 60862 151873.42 19.51 310 29.04 0.14 1342 3102.45 19.51 106 6 198 424 24 792 17.6 21.0 18.24 0.07
4500.0 376 15.3 0.06 1728 76.9 0.36 15171 1211.04 0.14 76033 153084.46 19.51 370 29.06 0.14 1712 3131.52 19.51 106 6 198 530 30 990 17.6 21.0 18.24 0.07
5400.0 356 16.02 0.36 2084 92.92 0.36 15473 7270.8 19.55 91506 160355.26 19.55 352 48.7 19.55 2064 3180.22 19.55 106 6 198 636 36 1188 17.6 21.0 18.24 0.07
6300.0 310 15.16 0.06 2394 108.08 0.36 15139 1221.64 0.14 106645 161576.9 19.55 310 29.21 0.14 2374 3209.43 19.55 106 6 198 742 42 1386 17.6 21.0 18.24 0.07
7200.0 310 15.16 0.06 2704 123.24 0.36 15137 1221.59 0.14 121782 162798.49 19.55 310 29.21 0.14 2684 3238.64 19.55 106 6 198 848 48 1584 17.6 21.0 18.26 0.06
8100.0 376 15.3 0.06 3080 138.54 0.36 15194 1221.55 0.14 136976 164020.04 19.55 370 29.24 0.14 3054 3267.87 19.55 106 6 198 954 54 1782 17.6 21.0 18.26 0.06
