# seed = 4, gamma = 0.66, beta = 0.33, dee = 0.1, dcc = 5.0, dec = 50.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 21.3 0.2 376 21.3 0.2 15177 1166.98 0.23 15177 1166.98 0.23 370 64.53 0.23 370 64.53 0.23 205 6 99 205 6 99 18.9 21.0 19.18 0.52
1800.0 356 22.01 0.36 732 43.31 0.36 15456 147762.85 19.65 30633 148929.83 19.65 352 3041.76 19.65 722 3106.29 19.65 205 6 99 410 12 198 18.7 21.0 18.9 0.01
2700.0 310 21.17 0.2 1042 64.48 0.36 15112 1185.35 0.23 45745 150115.18 19.65 310 64.87 0.23 1032 3171.16 19.65 205 6 99 615 18 297 17.6 21.0 18.28 0.08
3600.0 310 21.17 0.2 1352 85.64 0.36 15112 1184.92 0.23 60857 151300.1 19.65 310 64.87 0.23 1342 3236.02 19.65 205 6 99 820 24 396 17.6 21.0 18.24 0.07
4500.0 376 21.31 0.2 1728 106.95 0.36 15171 1184.96 0.23 76028 152485.06 19.65 370 64.88 0.23 1712 3300.9 19.65 205 6 99 1025 30 495 17.6 21.0 18.24 0.07
5400.0 356 22.01 0.36 2084 128.97 0.36 15473 7247.37 19.69 91501 159732.43 19.69 352 84.56 19.69 2064 3385.47 19.69 205 6 99 1230 36 594 17.6 21.0 18.24 0.07
6300.0 310 21.17 0.2 2394 150.13 0.36 15139 1187.76 0.23 106640 160920.18 19.69 310 64.86 0.23 2374 3450.33 19.69 205 6 99 1435 42 693 17.6 21.0 18.25 0.07
7200.0 310 21.17 0.2 2704 171.3 0.36 15137 1187.51 0.23 121777 162107.69 19.69 310 64.86 0.23 2684 3515.18 19.69 205 6 99 1640 48 792 17.6 21.0 18.26 0.06
8100.0 376 21.31 0.2 3080 192.62 0.36 15194 1187.39 0.23 136971 163295.08 19.69 370 64.92 0.23 3054 3580.1 19.69 205 6 99 1845 54 891 17.6 21.0 18.26 0.06
9000.0 356 22.01 0.36 3436 214.63 0.36 15492 7255.16 19.72 152463 170550.24 19.72 352 84.54 19.72 3406 3664.64 19.72 205 6 99 2050 60 990 17.6 21.0 18.26 0.06
9900.0 310 21.17 0.2 3746 235.8 0.36 15156 1187.59 0.23 167619 171737.82 19.72 310 64.88 0.23 3716 3729.51 19.72 205 6 99 2255 66 1089 17.6 21.0 18.22 0.06
10800.0 310 21.17 0.2 4056 256.97 0.36 15161 1188.18 0.23 182780 172926.0 19.72 310 64.87 0.23 4026 3794.39 19.72 205 6 99 2460 72 1188 17.6 21.0 18.16 0.07
11700.0 376 21.31 0.2 4432 278.28 0.36 15220 1188.42 0.23 198000 174114.42 19.72 370 64.93 0.23 4396 3859.32 19.72 205 6 99 2665 78 1287 17.6 21.0 18.16 0.07
12600.0 354 21.95 0.36 4786 300.22 0.36 15174 1186.07 0.24 213174 175300.49 19.72 350 64.94 0.24 4746 3924.26 19.72 205 6 99 2870 84 1386 17.6 21.0 18.16 0.07
13500.0 310 21.17 0.2 5096 321.39 0.36 15101 1181.86 0.24 228275 176482.34 19.72 310 64.91 0.24 5056 3989.17 19.72 205 6 99 3075 90 1485 17.6 21.0 18.15 0.07
