# seed = 9, gamma = 0.33, beta = 1.0, dee = 0.1, dcc = 5.0, dec = 1000.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 316.35 1.05 376 316.35 1.05 14874 15282.09 1.13 14874 15282.09 1.13 370 338.16 1.13 370 338.16 1.13 7 3 300 7 3 300 18.9 21.0 19.5 0.9
1800.0 356 317.08 1.05 732 633.43 1.05 15157 139771.54 20.11 30031 155053.63 20.11 352 2893.97 20.11 722 3232.13 20.11 7 3 300 14 6 600 18.9 21.0 18.91 0.01
2700.0 310 316.24 1.06 1042 949.67 1.06 14813 15327.95 1.14 44844 170381.58 20.11 310 339.12 1.14 1032 3571.25 20.11 7 3 300 21 9 900 17.7 21.0 18.44 0.05
3600.0 310 316.24 1.06 1352 1265.92 1.06 14809 15328.06 1.14 59653 185709.64 20.11 310 339.12 1.14 1342 3910.38 20.11 7 3 300 28 12 1200 17.6 21.0 18.24 0.08
4500.0 376 316.4 1.06 1728 1582.32 1.06 14865 15327.97 1.14 74518 201037.61 20.11 370 339.14 1.14 1712 4249.51 20.11 7 3 300 35 15 1500 17.6 21.0 18.24 0.08
5400.0 356 317.09 1.06 2084 1899.41 1.06 15191 21587.48 20.21 89709 222625.09 20.21 352 359.45 20.21 2064 4608.96 20.21 7 3 300 42 18 1800 17.6 21.0 18.24 0.08
6300.0 310 316.25 1.06 2394 2215.66 1.06 14879 15387.76 1.14 104588 238012.86 20.21 310 339.55 1.14 2374 4948.51 20.21 7 3 300 49 21 2100 17.6 21.0 18.25 0.07
7200.0 310 316.25 1.06 2704 2531.91 1.06 14882 15387.86 1.14 119470 253400.71 20.21 310 339.55 1.14 2684 5288.06 20.21 7 3 300 56 24 2400 17.6 21.0 18.27 0.06
8100.0 376 316.4 1.06 3080 2848.31 1.06 14942 15387.79 1.14 134412 268788.5 20.21 370 339.57 1.14 3054 5627.63 20.21 7 3 300 63 27 2700 17.6 21.0 18.27 0.06
9000.0 356 317.09 1.06 3436 3165.4 1.06 15215 21621.0 20.17 149627 290409.5 20.21 352 359.56 20.17 3406 5987.19 20.21 7 3 300 70 30 3000 17.6 21.0 18.27 0.06
9900.0 310 316.24 1.06 3746 3481.64 1.06 14846 15355.5 1.14 164473 305764.99 20.21 310 339.23 1.14 3716 6326.42 20.21 7 3 300 77 33 3300 17.6 21.0 18.25 0.06
10800.0 310 316.24 1.06 4056 3797.89 1.06 14851 15355.6 1.14 179324 321120.59 20.21 310 339.24 1.14 4026 6665.66 20.21 7 3 300 84 36 3600 17.6 21.0 18.17 0.08
11700.0 376 316.39 1.06 4432 4114.28 1.06 14911 15355.52 1.14 194235 336476.11 20.21 370 339.25 1.14 4396 7004.91 20.21 7 3 300 91 39 3900 17.6 21.0 18.17 0.08
12600.0 354 317.02 1.06 4786 4431.3 1.06 14870 15359.43 1.14 209105 351835.54 20.21 350 339.34 1.14 4746 7344.25 20.21 7 3 300 98 42 4200 17.6 21.0 18.17 0.08
13500.0 310 316.25 1.06 5096 4747.55 1.06 14796 15359.31 1.14 223901 367194.85 20.21 310 339.32 1.14 5056 7683.57 20.21 7 3 300 105 45 4500 17.6 21.0 18.16 0.07
14400.0 310 316.25 1.06 5406 5063.8 1.06 14797 15359.41 1.14 238698 382554.26 20.21 310 339.32 1.14 5366 8022.89 20.21 7 3 300 112 48 4800 17.6 21.0 18.15 0.07
15300.0 376 316.39 1.06 5782 5380.19 1.06 14856 15359.33 1.14 253554 397913.59 20.21 370 339.33 1.14 5736 8362.22 20.21 7 3 300 119 51 5100 17.6 21.0 18.15 0.07
16200.0 354 317.02 1.06 6136 5697.21 1.06 14825 15358.72 1.14 268379 413272.31 20.21 350 339.33 1.14 6086 8701.55 20.21 7 3 300 126 54 5400 17.6 21.0 18.15 0.07
17100.0 310 316.24 1.06 6446 6013.45 1.06 14786 15350.18 1.14 283165 428622.49 20.21 310 339.12 1.14 6396 9040.67 20.21 7 3 300 133 57 5700 17.6 21.0 18.13 0.07
18000.0 310 316.24 1.06 6756 6329.7 1.06 14786 15350.26 1.14 297951 443972.75 20.21 310 339.12 1.14 6706 9379.79 20.21 7 3 300 140 60 6000 17.6 21.0 18.12 0.07
18900.0 376 316.38 1.06 7132 6646.08 1.06 14845 15350.19 1.14 312796 459322.94 20.21 370 339.14 1.14 7076 9718.93 20.21 7 3 300 147 63 6300 17.6 21.0 18.12 0.07
19800.0 354 317.02 1.06 7486 6963.1 1.06 14817 15349.94 1.14 327613 474672.89 20.21 350 339.14 1.14 7426 10058.07 20.21 7 3 300 154 66 6600 17.6 21.0 18.12 0.07
20700.0 310 316.24 1.06 7796 7279.34 1.06 14789 15353.84 1.14 342402 490026.72 20.21 310 339.2 1.14 7736 10397.27 20.21 7 3 300 161 69 6900 17.6 21.0 18.1 0.06
21600.0 310 316.24 1.06 8106 7595.59 1.06 14791 15353.92 1.14 357193 505380.65 20.21 310 339.2 1.14 8046 10736.47 20.21 7 3 300 168 72 7200 17.6 21.0 18.09 0.06
22500.0 376 316.39 1.06 8482 7911.98 1.06 14850 15353.85 1.14 372043 520734.5 20.21 370 339.22 1.14 8416 11075.68 20.21 7 3 300 175 75 7500 17.6 21.0 18.09 0.06
23400.0 354 317.02 1.06 8836 8229.0 1.06 14815 15357.99 1.14 386858 536092.49 20.21 350 339.31 1.14 8766 11414.99 20.21 7 3 300 182 78 7800 17.6 21.0 18.09 0.06
24300.0 310 316.25 1.06 9146 8545.25 1.06 14781 15362.44 1.14 401639 551454.93 20.21 310 339.38 1.14 9076 11754.37 20.21 7 3 300 189 81 8100 17.5 21.0 18.07 0.06
