# seed = 4, gamma = 0.33, beta = 1.0, dee = 10.0, dcc = 25.0, dec = 10.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = EDGE 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 18.98 0.06 376 18.98 0.06 15178 1437.71 0.15 15178 1437.71 0.15 370 30.62 0.15 370 30.62 0.15 7 3 300 7 3 300 18.9 21.0 19.37 0.77
1800.0 356 19.71 0.36 732 38.7 0.36 15458 147845.07 19.51 30636 149282.78 19.51 352 3003.6 19.51 722 3034.22 19.51 7 3 300 14 6 600 18.7 21.0 18.9 0.01
2700.0 310 18.87 0.06 1042 57.57 0.36 15115 1482.69 0.16 45751 150765.47 19.51 310 31.51 0.16 1032 3065.73 19.51 7 3 300 21 9 900 17.6 21.0 18.32 0.08
3600.0 310 18.87 0.06 1352 76.44 0.36 15112 1482.58 0.16 60863 152248.05 19.51 310 31.5 0.16 1342 3097.23 19.51 7 3 300 28 12 1200 17.6 21.0 18.24 0.07
4500.0 376 19.01 0.06 1728 95.45 0.36 15171 1482.73 0.16 76034 153730.78 19.51 370 31.54 0.16 1712 3128.78 19.51 7 3 300 35 15 1500 17.6 21.0 18.24 0.07
5400.0 356 19.72 0.36 2084 115.17 0.36 15473 7545.19 19.55 91507 161275.97 19.55 352 51.12 19.55 2064 3179.9 19.55 7 3 300 42 18 1800 17.6 21.0 18.24 0.07
6300.0 310 18.87 0.06 2394 134.04 0.36 15139 1490.73 0.16 106646 162766.7 19.55 310 31.63 0.16 2374 3211.53 19.55 7 3 300 49 21 2100 17.6 21.0 18.24 0.07
7200.0 310 18.87 0.06 2704 152.91 0.36 15137 1490.59 0.16 121783 164257.29 19.55 310 31.62 0.16 2684 3243.15 19.55 7 3 300 56 24 2400 17.6 21.0 18.26 0.06
8100.0 376 19.02 0.06 3080 171.93 0.36 15194 1490.77 0.16 136977 165748.06 19.55 370 31.67 0.16 3054 3274.82 19.55 7 3 300 63 27 2700 17.6 21.0 18.26 0.06
