# seed = 4, gamma = 0.66, beta = 0.66, dee = 1.0, dcc = 100.0, dec = 300.0, dsCnd = 150.0, dLocalhost = 0.02, hostBroker = EDGE 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 63.02 0.3 376 63.02 0.3 15178 3073.62 0.45 15178 3073.62 0.45 370 95.62 0.33 370 95.62 0.33 106 6 198 106 6 198 18.9 21.0 19.37 0.77
1800.0 356 64.05 0.36 732 127.07 0.36 15458 156250.34 19.75 30636 159323.95 19.75 352 3210.87 19.75 722 3306.49 19.75 106 6 198 212 12 396 18.7 21.0 18.91 0.01
2700.0 310 62.92 0.31 1042 189.99 0.36 15115 3090.48 0.45 45751 162414.44 19.75 310 95.68 0.33 1032 3402.17 19.75 106 6 198 318 18 594 17.6 21.0 18.31 0.08
3600.0 310 62.92 0.31 1352 252.9 0.36 15112 3089.11 0.45 60863 165503.55 19.75 310 95.68 0.33 1342 3497.85 19.75 106 6 198 424 24 792 17.6 21.0 18.25 0.08
4500.0 376 63.06 0.31 1728 315.96 0.36 15171 3089.44 0.45 76034 168592.99 19.75 370 95.98 0.33 1712 3593.83 19.75 106 6 198 530 30 990 17.6 21.0 18.24 0.07
5400.0 356 64.06 0.36 2084 380.02 0.36 15473 9199.44 19.79 91507 177792.43 19.79 352 116.4 19.79 2064 3710.23 19.79 106 6 198 636 36 1188 17.6 21.0 18.24 0.07
6300.0 310 62.92 0.31 2394 442.94 0.36 15137 3100.33 0.45 106644 180892.76 19.79 310 95.8 0.34 2374 3806.03 19.79 106 6 198 742 42 1386 17.6 21.0 18.24 0.07
7200.0 310 62.92 0.31 2704 505.86 0.36 15138 3101.22 0.45 121782 183993.98 19.79 310 95.8 0.34 2684 3901.83 19.79 106 6 198 848 48 1584 17.6 21.0 18.26 0.06
8100.0 376 63.06 0.31 3080 568.92 0.36 15195 3101.09 0.45 136977 187095.07 19.79 370 96.1 0.34 3054 3997.93 19.79 106 6 198 954 54 1782 17.6 21.0 18.26 0.06
9000.0 356 64.05 0.36 3436 632.97 0.36 15494 9212.45 19.82 152471 196307.53 19.82 352 116.44 19.82 3406 4114.37 19.82 106 6 198 1060 60 1980 17.6 21.0 18.26 0.06
9900.0 310 62.92 0.31 3746 695.89 0.36 15154 3104.39 0.45 167625 199411.92 19.82 310 95.72 0.33 3716 4210.09 19.82 106 6 198 1166 66 2178 17.6 21.0 18.24 0.06
10800.0 310 62.92 0.31 4056 758.81 0.36 15161 3105.32 0.45 182786 202517.24 19.82 310 95.73 0.33 4026 4305.81 19.82 106 6 198 1272 72 2376 17.6 21.0 18.16 0.07
11700.0 376 63.06 0.31 4432 821.87 0.36 15221 3105.61 0.45 198007 205622.84 19.82 370 96.02 0.33 4396 4401.84 19.82 106 6 198 1378 78 2574 17.6 21.0 18.16 0.07
12600.0 354 63.7 0.36 4786 885.57 0.36 15177 3103.41 0.45 213184 208726.26 19.82 350 96.68 0.34 4746 4498.52 19.82 106 6 198 1484 84 2772 17.6 21.0 18.16 0.07
13500.0 310 62.92 0.31 5096 948.49 0.36 15101 3097.54 0.45 228285 211823.8 19.82 310 95.77 0.34 5056 4594.28 19.82 106 6 198 1590 90 2970 17.6 21.0 18.15 0.07
