# seed = 2, gamma = 0.0, beta = 1.0, dee = 10.0, dcc = 100.0, dec = 300.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 107.33 0.35 376 107.33 0.35 15284 5750.92 0.44 15284 5750.92 0.44 370 123.18 0.44 370 123.18 0.44 10 0 300 10 0 300 18.9 21.0 19.35 0.75
1800.0 356 108.15 0.36 732 215.47 0.36 15569 153183.78 19.91 30853 158934.7 19.91 352 3095.92 19.91 722 3219.1 19.91 10 0 300 20 0 600 18.9 18.9 18.9 0.0
2700.0 310 107.22 0.36 1042 322.7 0.36 15221 5802.21 0.45 46074 164736.91 19.91 310 123.67 0.45 1032 3342.76 19.91 10 0 300 30 0 900 17.7 18.9 18.43 0.04
3600.0 310 107.22 0.36 1352 429.92 0.36 15221 5802.15 0.45 61295 170539.06 19.91 310 123.66 0.45 1342 3466.43 19.91 10 0 300 40 0 1200 17.7 18.9 18.23 0.06
4500.0 376 107.36 0.36 1728 537.28 0.36 15277 5802.82 0.45 76572 176341.88 19.91 370 124.27 0.45 1712 3590.7 19.91 10 0 300 50 0 1500 17.6 18.7 18.22 0.05
5400.0 356 108.16 0.36 2084 645.44 0.36 15606 12013.07 20.01 92178 188354.95 20.01 352 144.16 20.01 2064 3734.86 20.01 10 0 300 60 0 1800 17.6 18.7 18.22 0.05
6300.0 310 107.23 0.36 2394 752.68 0.36 15298 5842.79 0.45 107476 194197.74 20.01 310 124.1 0.45 2374 3858.96 20.01 10 0 300 70 0 2100 17.6 18.7 18.23 0.05
7200.0 310 107.23 0.36 2704 859.91 0.36 15294 5842.72 0.45 122770 200040.46 20.01 310 124.1 0.45 2684 3983.05 20.01 10 0 300 80 0 2400 17.6 18.7 18.25 0.04
8100.0 376 107.37 0.36 3080 967.28 0.36 15352 5843.41 0.45 138122 205883.87 20.01 370 124.7 0.45 3054 4107.76 20.01 10 0 300 90 0 2700 17.6 18.7 18.25 0.04
