# seed = 10, gamma = 0.66, beta = 0.66, dee = 1.0, dcc = 100.0, dec = 1000.0, dsCnd = 50.0, dLocalhost = 0.02, hostBroker = CLOUD 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 219.83 1.05 376 219.83 1.05 15323 10896.22 1.08 15323 10896.22 1.08 370 329.29 1.08 370 329.29 1.08 106 6 198 106 6 198 18.9 21.0 19.36 0.76
1800.0 356 220.65 1.05 732 440.48 1.05 15610 154314.71 20.67 30933 165210.94 20.67 352 3216.97 20.67 722 3546.26 20.67 106 6 198 212 12 396 18.6 18.9 18.9 0.0
2700.0 310 219.73 1.06 1042 660.21 1.06 15266 10921.54 1.09 46199 176132.48 20.67 310 329.7 1.09 1032 3875.96 20.67 106 6 198 318 18 594 17.7 18.9 18.41 0.03
3600.0 310 219.73 1.06 1352 879.94 1.06 15265 10919.46 1.09 61464 187051.94 20.67 310 329.7 1.09 1342 4205.67 20.67 106 6 198 424 24 792 17.6 18.9 18.22 0.05
4500.0 376 219.6 1.05 1728 1099.55 1.06 15321 10920.38 1.09 76785 197972.32 20.67 370 329.87 1.09 1712 4535.54 20.67 106 6 198 530 30 990 17.6 18.7 18.22 0.05
5400.0 356 220.67 1.06 2084 1320.22 1.06 15631 17237.76 20.72 92416 215210.08 20.72 352 350.74 20.72 2064 4886.28 20.72 106 6 198 636 36 1188 17.6 18.7 18.22 0.05
6300.0 310 219.73 1.06 2394 1539.95 1.06 15301 10942.65 1.09 107717 226152.73 20.72 310 329.87 1.09 2374 5216.15 20.72 106 6 198 742 42 1386 17.6 18.7 18.22 0.05
7200.0 310 219.73 1.06 2704 1759.68 1.06 15304 10942.67 1.09 123021 237095.4 20.72 310 329.87 1.09 2684 5546.02 20.72 106 6 198 848 48 1584 17.6 18.7 18.24 0.04
8100.0 376 219.88 1.06 3080 1979.56 1.06 15360 10940.66 1.09 138381 248036.06 20.72 370 329.97 1.09 3054 5875.99 20.72 106 6 198 954 54 1782 17.6 18.7 18.24 0.04
9000.0 356 220.67 1.06 3436 2200.23 1.06 15642 17248.2 20.71 154023 265284.27 20.72 352 350.79 20.71 3406 6226.77 20.72 106 6 198 1060 60 1980 17.6 18.7 18.24 0.04
9900.0 310 219.73 1.06 3746 2419.95 1.06 15283 10931.27 1.09 169306 276215.53 20.72 310 329.76 1.09 3716 6556.53 20.72 106 6 198 1166 66 2178 17.6 18.7 18.22 0.04
10800.0 310 219.73 1.06 4056 2639.68 1.06 15296 10934.41 1.09 184602 287149.94 20.72 310 329.76 1.09 4026 6886.29 20.72 106 6 198 1272 72 2376 17.6 18.7 18.14 0.04
11700.0 376 219.87 1.06 4432 2859.55 1.06 15354 10932.43 1.09 199956 298082.37 20.72 370 329.86 1.09 4396 7216.15 20.72 106 6 198 1378 78 2574 17.6 18.7 18.14 0.04
12600.0 354 220.51 1.06 4786 3080.06 1.06 15319 10929.54 1.09 215275 309011.91 20.72 350 330.12 1.09 4746 7546.28 20.72 106 6 198 1484 84 2772 17.6 18.7 18.14 0.04
13500.0 310 219.73 1.06 5096 3299.79 1.06 15244 10916.66 1.09 230519 319928.57 20.72 310 329.83 1.09 5056 7876.1 20.72 106 6 198 1590 90 2970 17.6 18.7 18.13 0.04
14400.0 310 219.73 1.06 5406 3519.52 1.06 15242 10916.64 1.09 245761 330845.2 20.72 310 329.82 1.09 5366 8205.93 20.72 106 6 198 1696 96 3168 17.6 18.7 18.12 0.04
