# seed = 1, gamma = 0.66, beta = 0.33, dee = 1.0, dcc = 25.0, dec = 300.0, dsCnd = 500.0, dLocalhost = 0.02, hostBroker = EDGE 
#
# The columns have the following meaning: 
# instant[SECONDS] commCountUploadPartial delaySumUploadPartial[SECONDS] delayMaxUploadPartial[SECONDS] commCountUploadTot delaySumUploadTot[SECONDS] delayMaxUploadTot[SECONDS] commCountDownloadPartial delaySumDownloadPartial[SECONDS] delayMaxDownloadPartial[SECONDS] commCountDownloadTot delaySumDownloadTot[SECONDS] delayMaxDownloadTot[SECONDS] commCountDownloadMaxPartial delaySumDownloadMaxPartial[SECONDS] delayMaxDownloadMaxPartial[SECONDS] commCountDownloadMaxTot delaySumDownloadMaxTot[SECONDS] delayMaxDownloadMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot minTemp maxTemp avgTemp varianceTemp
0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0 17.0 25.0 21.0 0.0
900.0 376 112.43 0.51 376 112.43 0.51 16500 6142.06 0.8 16500 6142.06 0.8 370 159.22 0.54 370 159.22 0.54 205 6 99 205 6 99 18.9 21.0 19.37 0.77
1800.0 356 113.47 0.51 732 225.9 0.51 16788 196456.36 21.63 33288 202598.42 21.63 352 3734.37 21.63 722 3893.58 21.63 205 6 99 410 12 198 18.9 18.9 18.9 0.0
2700.0 310 112.33 0.51 1042 338.24 0.51 16438 6167.85 0.8 49726 208766.27 21.63 310 159.42 0.54 1032 4053.01 21.63 205 6 99 615 18 297 17.6 18.9 18.27 0.05
3600.0 310 112.33 0.51 1352 450.57 0.51 16440 6169.46 0.8 66166 214935.72 21.63 310 159.42 0.54 1342 4212.43 21.63 205 6 99 820 24 396 17.6 18.9 18.21 0.05
4500.0 376 112.47 0.51 1728 563.04 0.51 16496 6166.56 0.8 82662 221102.28 21.63 370 159.73 0.54 1712 4372.16 21.63 205 6 99 1025 30 495 17.6 18.7 18.21 0.05
5400.0 356 113.48 0.51 2084 676.52 0.51 16824 12872.75 21.73 99486 233975.03 21.73 352 182.09 21.73 2064 4554.25 21.73 205 6 99 1230 36 594 17.6 18.7 18.21 0.05
6300.0 310 112.34 0.51 2394 788.87 0.51 16514 6199.41 0.8 116000 240174.43 21.73 310 159.58 0.55 2374 4713.83 21.73 205 6 99 1435 42 693 17.6 18.7 18.21 0.04
7200.0 310 112.34 0.51 2704 901.21 0.51 16516 6200.22 0.8 132516 246374.66 21.73 310 159.58 0.55 2684 4873.41 21.73 205 6 99 1640 48 792 17.6 18.7 18.23 0.04
8100.0 376 112.49 0.51 3080 1013.7 0.51 16574 6200.53 0.8 149090 252575.18 21.73 370 159.88 0.55 3054 5033.29 21.73 205 6 99 1845 54 891 17.6 18.7 18.23 0.04
